,Account,Tweet_text,timestamp,compound,positive,negative,neutral
0,CBS,"How much does it cost to bury the truth? #OneDollar premieres Thursday, August 30, exclusively on CBS All Access.… https://t.co/1tab8eCaFz",2018-07-02 21:13:11,0.3182,0.108,0.0,0.892
1,CBS,Take a first look at our @Comic_Con lineup along with details of what you can expect to see:… https://t.co/JqBtlKcwq3,2018-07-02 20:47:32,0.0,0.0,0.0,1.0
2,CBS,RT @TrueCrimeCBS: Two new true-crime series are set to premiere this July on CBS! Learn more about #Whistleblower and #PinkCollarCrimes bef…,2018-07-02 17:27:06,0.0,0.0,0.0,1.0
3,CBS,"If at first you don’t succeed on @PriceIsRight…bid, bid again! https://t.co/OWBaOsFZ3i",2018-07-02 17:00:02,0.5411,0.259,0.0,0.741
4,CBS,What’s summer without @CBSBigBrother? ☀️ RT if you’re counting down the hours to the #BB20 premiere TONIGHT at 8/7c… https://t.co/Xp1s4Fp5J8,2018-06-27 20:31:32,0.0,0.0,0.0,1.0
5,CBS,"It looks like you...

(•_•)
( •_•)&gt;⌐■-■
(⌐■_■)

Have a lot of TV to watch!

Celebrate #NationalSunglassesDay with H… https://t.co/Babt4ajIgV",2018-06-27 14:00:01,0.7574,0.289,0.0,0.711
6,CBS,The world will finally know the truth. ☄️ Make sure to tune in to the heart-pounding Season 2 premiere of… https://t.co/mqMleW90DY,2018-06-25 18:20:25,0.5574,0.204,0.0,0.796
7,CBS,Tonight's the night! Don't miss model @ashleygraham on the season finale of Celebrity @undercover_cbs at 8/7c. https://t.co/iBxAOcOF7a,2018-06-22 21:19:06,0.1867,0.098,0.0,0.902
8,CBS,"Every day is #TakeYourDogToWorkDay for shows like @HawaiiFive0CBS, @MomCBS, @SEALTeamCBS, and @bigbangtheory! https://t.co/DJaOt1VQcw",2018-06-22 18:33:53,0.4199,0.189,0.0,0.811
9,CBS,"Lights, camera, selfie! 📸 Could there be a better photo for #NationalSelfieDay? https://t.co/14Ewx64yKC",2018-06-21 23:29:50,0.4926,0.197,0.0,0.803
